,Date,Total Cases,Daily Cases,Percent Change
0,2020-01-22,0,0,0.0
1,2020-01-23,0,0,0.0
2,2020-01-24,0,0,0.0
3,2020-01-25,0,0,0.0
4,2020-01-26,0,0,0.0
5,2020-01-27,0,0,0.0
6,2020-01-28,0,0,0.0
7,2020-01-29,0,0,0.0
8,2020-01-30,0,0,0.0
9,2020-01-31,2,2,0.0
10,2020-02-01,2,0,0.0
11,2020-02-02,2,0,0.0
12,2020-02-03,2,0,0.0
13,2020-02-04,2,0,0.0
14,2020-02-05,2,0,0.0
15,2020-02-06,2,0,0.0
16,2020-02-07,3,1,0.5
17,2020-02-08,3,0,0.0
18,2020-02-09,3,0,0.0
19,2020-02-10,3,0,0.0
20,2020-02-11,3,0,0.0
21,2020-02-12,3,0,0.0
22,2020-02-13,3,0,0.0
23,2020-02-14,3,0,0.0
24,2020-02-15,3,0,0.0
25,2020-02-16,3,0,0.0
26,2020-02-17,3,0,0.0
27,2020-02-18,3,0,0.0
28,2020-02-19,3,0,0.0
29,2020-02-20,3,0,0.0
30,2020-02-21,20,17,5.666666666666667
31,2020-02-22,62,42,2.1
32,2020-02-23,155,93,1.5
33,2020-02-24,229,74,0.4774193548387097
34,2020-02-25,322,93,0.40611353711790393
35,2020-02-26,453,131,0.40683229813664595
36,2020-02-27,655,202,0.445916114790287
37,2020-02-28,888,233,0.35572519083969467
38,2020-02-29,1128,240,0.2702702702702703
39,2020-03-01,1694,566,0.50177304964539
40,2020-03-02,2036,342,0.20188902007083825
41,2020-03-03,2502,466,0.2288801571709234
42,2020-03-04,3089,587,0.2346123101518785
43,2020-03-05,3858,769,0.24894787957267725
44,2020-03-06,4636,778,0.20165889061689996
45,2020-03-07,5883,1247,0.2689818809318378
46,2020-03-08,7375,1492,0.25361210266870643
47,2020-03-09,9172,1797,0.24366101694915254
48,2020-03-10,10149,977,0.10651984300043611
49,2020-03-11,12462,2313,0.22790422701744015
50,2020-03-12,12462,0,0.0
51,2020-03-13,17660,5198,0.41710800834536993
52,2020-03-14,21157,3497,0.19801812004530012
53,2020-03-15,24747,3590,0.16968379259819444
54,2020-03-16,27980,3233,0.1306420980320847
55,2020-03-17,31506,3526,0.12601858470335955
56,2020-03-18,35713,4207,0.13353012124674665
57,2020-03-19,41035,5322,0.1490213647691317
58,2020-03-20,47021,5986,0.14587547215791397
59,2020-03-21,53578,6557,0.1394483315965207
60,2020-03-22,59138,5560,0.10377393706372018
61,2020-03-23,63927,4789,0.08098008048970205
62,2020-03-24,69176,5249,0.08210928089852489
63,2020-03-25,74386,5210,0.07531513819821904
64,2020-03-26,80589,6203,0.08338934745785498
65,2020-03-27,86498,5909,0.07332266190174838
66,2020-03-28,92472,5974,0.0690651806978196
